# 禁止下载的微信读书 book_id（每行一个）
# 空行与本注释会被忽略；也可写 ID,书名,作者（只取逗号前 ID）
# 命中后：批量导出会跳过；书架去重会记入 dup_books，不写入 new_books
15232c50726c894b1529182,菊香斋诗文钞,胡安顺
688327b0813ab81a6g010afe,名言佳句辞典,刘振远 主编
cd832830813aba7b3g01166d,中国诗词寻字觅句,张祥斌   闫哲美
a2332000813ab9997g0122b6,墨梅,[美]毕嘉珍
8a132900813ab9596g016772,孤独的人周身如月,解春秋
38732dd05d0861387ec22ce,婉约词,妙欢编著
d8f32830813ab9b7fg01549b,唐诗光明顶,六神磊磊
afb323b071e7502aafb7169,词林别裁（上）,卢家明
5283274071e7502c5285d17,词林别裁（下）,卢家明
19532cf0813ab7d76g013e8f,春山多胜事：四时读诗（从汉语的古典精神中，探寻现代日常生活的审美启示）,三书
99d32960813ab83bcg0181cc,唐诗岁时记·繁花夏景长,陆蓓容 编著
3b432e80813ab83bcg0160b1,唐诗岁时记·雪片一冬深,陆蓓容 编著
f4432020813ab83bcg015a99,唐诗岁时记·春风吹又生,陆蓓容 编著
687326f0813ab83bcg014922,唐诗岁时记·怀君属秋夜,陆蓓容 编著
684325e0813ab7d67g01773d,唐诗之路与文学空间研究——唐诗之路研究丛书,胡可先
90332800813ab78a7g018b72,瓯北诗话,[清]赵翼
30632f70813ab7042g010806,大学问·唐宋词小讲,王兆鹏
52932d50813ab8fccg0144d1,四溟诗话,[明]谢榛
91132590813ab7041g0193bd,大学问·国文课：中国文脉十五讲,徐晋如
44532a50813ab8532g010fc5,跨山海 : 14位古代诗词偶像的真实人生,《千古风流人物》项目组
59d320b0813ab8e12g016d99,杜诗镜铨,杨伦
7e0324d0813ab82c3g011bf4,也无风雨也无晴：苏东坡美文大观,周啸天
cd5329207186004ecd5a928,夜航船全鉴,[明]张岱
20b320a071d0155620b54d6,国学小丛书：词学通论,吴梅
7ea32560813ab9d45g0122cc,跟着古诗词去旅行-大漠孤烟篇,陈兰军  蒋文婕
a0f32db0813aba7a2g0135e6,梦魂诗香,蒙吉品
fcb32850813aba12fg018da3,《数字人文》2024年第2期,刘石 孙茂松 尹涛
ffd324b0813ab9195g014f83,星河落人间,何楚涵
77e32220813abacc2g014c88,飞花令（含地、天、道、自然）,王立宏 编
