a31325d0813ab8198g01754d,明词三百首,张璋 刘卓英
00f32af0813ab75bcg015f85,元代文人群体的地理分布与文学格局--国家哲学社会科学成果文库（全二册）精,邱江宁著
bfa32450719c410fbfa6b88,飞花令里读诗词·风暖鸟声碎,琬如
131325e0813abc08dg015672,飞花令·清新婉丽品宋词,陶然 编著
a7e328a0813abc0afg013051,飞花令·雅俗共赏读元曲,陶然 编著
a7932ba0813abc0afg012939,飞花令·快意淋漓赏唐诗,陶然 编著
5e132b40813abbf01g01839f,飞花令·纳兰诗词,陶红亮 编著
84832230813abbed0g019f04,飞花令·宋词,陶红亮 编著
1d832b80813abbeffg014fdc,飞花令·元曲,陶红亮 编著
12b32600813ab6c8fg01080e,飞花令·江,素心落雪
5c332970813ab6c8eg016e6e,飞花令·合,素心落雪
a98327a0813ab6ddbg01174f,飞花令·柏（中国文化·古典诗词品鉴）,素心落雪 编著
1b332240813ab6ddbg012fd7,飞花令·杨（中国文化·古典诗词品鉴）,素心落雪 编著
78932ec0813ab6c8fg012c15,飞花令·山,素心落雪
585326e0813ab6c8eg018c4a,飞花令·湖,素心落雪
35a32c60813ab6c8fg011504,飞花令·离,素心落雪
c38320d0813ab6c8eg017b1b,飞花令·河,素心落雪
27932800813ab6c8fg015c03,飞花令·园,素心落雪
93332490813ab6c8eg0153b6,飞花令·海,素心落雪
fce321c0813ab6c8eg014ed1,飞花令·悲,素心落雪
4e032650813ab6c8fg0136b0,飞花令·水,素心落雪
78f320f0813ab6c8fg0143c4,飞花令·田,素心落雪
8ba32840813ab6c8eg01995f,飞花令·欢,素心落雪
b9d32b80813abbf06g0157d8,飞花令·唐诗,陶红亮 编著
19332e30813ab6ddbg01086d,飞花令·松（中国文化·古典诗词品鉴）,素心落雪 编著
60832f10813ab6e04g019b31,飞花令·夏（中国文化·古典诗词品鉴）,素心落雪 编著
0ab32680813ab6ddbg013624,飞花令·柳（中国文化·古典诗词品鉴）,素心落雪 编著
30132da0813ab6e20g018d86,飞花令·兰（中国文化·古典诗词品鉴）,素心落雪 编著
77e32220813abacc2g014c88,飞花令（含地、天、道、自然）,王立宏 编
8dc32fa0813ab6e20g017e9f,飞花令·竹（中国文化·古典诗词品鉴）,素心落雪 编著
84a32320813ab6e20g0134d9,飞花令·菊（中国文化·古典诗词品鉴）,素心落雪 编著
61732750813ab6e20g0141de,飞花令·梅（中国文化·古典诗词品鉴）,素心落雪 编著
46232020813ab6e05g011d22,飞花令·冬（中国文化·古典诗词品鉴）,素心落雪 编著
05632ef0716e82fb0563b07,飞花令·秋（中国文化·古典诗词品鉴）,素心落雪编著
54932740813ab6e25g0135de,飞花令·风（中国文化·古典诗词品鉴）,素心落雪 编著
62c326c0813ab7026g015c06,藏在小学语文课本里的飞花令. 2,林姝
cc3325a0716e82f5cc36778,飞花令·雪（中国文化·古典诗词品鉴）,素心落雪编著
8b4321d0813ab7026g017970,藏在小学语文课本里的飞花令. 3,林姝
46f328a0813ab7026g014cb4,藏在小学语文课本里的飞花令. 1,林姝
a7532210719d706ba751852,图说天下·文化中国：飞花令里读诗词·冬,琬如
75b328e0719d706775b61c2,图说天下·文化中国：飞花令里读诗词·夏,琬如
5f932fd0719d70655f905f4,图说天下·文化中国：飞花令里读诗词·春,琬如
3c0325a0813ab6e05g010fd4,飞花令·春（中国文化·古典诗词品鉴）,素心落雪 编著
f4732620813ab6e20g0150be,飞花令·花（中国文化·古典诗词品鉴）,素心落雪 编著
af132c705c2b32af1756910,唐人万首绝句选,[宋]洪迈
5e632f6059bf9e5e6b2a729,千春犹待发华滋：叶嘉莹传,熊烨
54932860813ab69a5g012e92,广西古代文学研究论集,王德明
951320907180152c951b271,晚明曲家及文献辑考,叶晔
e1f32c10813ab6b2ag01440a,给青少年的大师诗词课,朱自清   吴梅   闻一多
1bf32820813ab7668g013f77,潮落潮生：王国维传,陈铭
388320a0723d38763881f87,海宇混一：元代的儒学承传与文坛格局,罗海燕
809320d0813ab751eg0102c6,集部通论（精）,卢盛江著
a7632010813ab8b7fg0146d2,南陌春风——温州大学中国语言文学学科论文选（精）,孙良好
c6a32cf05b87a1c6aba9c12,词说,蒋兆兰
8c632f005b012c8c60b5de9,闲情偶寄,[明末清初]李渔
b5932b407166b7afb59aa50,中国美学（第1辑）,邹华主编
784328307191a4a1784145b,中国美学（第6辑）,邹华 王旭晓 杜道明
2b432470813aba2f3g010bea,中国美学（第16辑）,邹华 杜道明 徐良
1fb328d0813aba303g0108c3,中国美学（第15辑）,邹华 杜道明 徐良
23b321007297298823b03bc,中国美学（第8辑）,邹华主编
de632420723d39dede6a5ba,中国美学（第7辑）,邹华主编 王旭晓 杜道明副主编
413328e0813abb817g016afb,冷香：惊才绝艳,王鹤
4ed32ef0718985034edcae2,中国古代曲体文学格律研究,俞为民
3d2322d072778be63d2dcce,砚边人文,张瑞田
bef32970813ab7b08g0153d2,刘克庄小品,刘克庄撰 鹿苗苗
7493214072055e38749d25d,文学评论精华,鹿军士
b2e32890813ab7e3cg01247f,学术人生：浙大中文学者访谈录,胡可先 史文磊
538325e0718987bd5385015,双清集,王能宪 董希平 程苏东
58a32740813abbf5ag010845,北宋词境浅说,俞陛云
5c732a00813ab7522g011477,春华集：中华书局员工文选（2020年）,中华书局编
b6a32ba0813ab80a8g01603f,郑板桥评传,鄢敬新
ba332eb0813ab90a2g019bec,二十世纪王船山文学思想研究史,石朝辉
著
e9b325a0719ed374e9bf937,文学原理,王元骧
7f632dd0813ab69f3g0198b2,不似当时，小楼冲雨，幽恨两人知,王玉洁
c2932550724714d5c29db8a,文学与文选四种,吕思勉
c5532af05bd896c55ecc8e3,中华格言大典,雅瑟主编
9e432540813ab731bg01350f,中国古代乐论与文论关系论稿,韩伟
ed232080813ab8bb3g01875f,艺术概论,姚杰
6cf32e8071af0b016cf418d,唐时明月,朱红
843323105c1b2e843f86556,论词随笔,沈祥龙
63c32d60813aba755g0166b8,蒿庵论词,冯煦
82b32e60813ab8581g0144e9,素以为绚的风景,刘石
7a432360813ab8748g01742b,芬陀利室词话,蒋敦复
55f32a405c064355fb3adf6,菌阁琐谈,沈曾植
b6732a6071898a9fb6725f8,李煜传,田居俭
fc232ac07212a7d4fc25433,水光山色与人亲（中华好诗词·山水卷）,韩元编著
c2f32b0072051d34c2fd909,域外词选,夏承焘
e3b32dd0813ab9830g016a9f,临风想望,高克勤
def32720813ab6fa3g019c68,近代诗文,黄明 黄坤编著
d4132ff0729728c4d414091,明代文学文献与文学思想：中国明代文学学会（筹）第十届年会论文集,左东岭主编
1da322405390521da7ddab6,宋词三百首（最爱读国学系列）,逸闻 雨潇
eb8327a0813ab956dg0128bc,宋词鉴赏辞典,佚名
07932ee0729593b30793542,诗歌与科普：诗歌中的色彩,何薇编著
1c93237071e0386b1c919a2,说不尽的《人间词话》,张肖肖
8fb32eb0813ab93cdg0104ef,百年文人：清晰或模糊的背影. 卷一,梁由之
d2e32180813ab7592g017d58,经典之重写与重探：晚清民国词论集（精）--香港中文大学中文系学术文库,徐玮著
99732650727623e8997ed1a,宋代词人小传（品中国古代文人）,青景 远林
9e132dc0813ab8f9ag014c25,浅斟低唱：大宋词人的柔情,夏墨
147323e0813ab6c34g013087,左庵词话,李佳
63032080715e273a630f71a,中小学必背古诗文208篇,陈引驰
a6e32a5071f55b48a6e691f,苏辛词评注,王立娟 卞轶男 刘少坤
49b32ea0813aba00bg012e10,唯美的宋词,温振华
9dc32030721071709dc5b43,柳永词,王兆鹏 姚蓉评注
d7c32b70721474b3d7c8f45,美得令人心醉的100首豪放词,王光波
e08321a07249aa0be080839,绝妙好词全鉴,[宋]周密编 东篱子解译
0a932740813ab7d07g010c2f,朱淑真诗词传：闲品《断肠集》,孟斜阳
7c3322005b726a7c3029947,本事词,[清]叶申芗
5f73241072140b8e5f7dfa6,宋词选,胡云翼选注
09d32f807212a7d809dc103,愿得此生长报国（中华好诗词·爱国卷）,陈旭编著
71f323a0813abbefeg0127b6,新时代中华传统文化知识丛书：中华古典诗词,李燕 罗日明 主编
c04320207191a2b5c049589,中国美学（第5辑）,杜道明 邹华 王旭晓
29932f10723b5b6c2994cc4,寻幽殊未歇,杨焄
b3c32e20724adba6b3c18b6,曼殊室随笔,梁启勋著 段双喜标点
88432a20813ab9c42g01967d,诗词名句接龙800条,张祥斌
3bc322f0725669203bc2bb7,四川历史名人丛书研究系列：杨慎研究文选,王智勇主编
ec232290813ab6f6bg0124f4,冰壶秋月（日知文丛）,吴承学
fbf32640727ceee0fbff747,珠花簃词话,佚名
8e4325f07270ca738e41bf3,张一南北大国文课,张一南
072324e0720a8fe10726b09,年轻人的国文课,张一南
ab532a107199a6e1ab53571,骚赋楚韵：楚辞精选集,许松华
82432800813abac54g019acc,堂庑大之：谭献的词学世界【中华书局出品】,高明祥著
15532d10813ab716bg011e84,给孩子讲宋词,方州
0ba329b0813ab9021g018d18,李清照传：半世烟雨半世情,蔡晓柔
0be32e30813ab9030g0123ff,宋词一百零一夜--予路人文阅读系列丛书,彭元鹤著
c0732220721852d5c07b502,公文写作金句速查宝典：诗词、佳句、场景用法,石头哥编著
32e3208071f5615532e31b2,最美宋词,崇贤书院
a15322e0813ab6ec2g016ad6,20世纪曲学史研究,李占鹏
9eb32a905c16ce9ebb34a60,忧乐天下——范仲淹传,周宗奇
fe9321205c5f85fe9108637,诗集传附录纂疏（元代古籍集成 经部诗类）,李山主编
52632e2071a2c3835267c20,中国转向内在：两宋之际的文化转向,刘子健
4d132600813ab982fg016f23,夏承焘学记,胡可先
c4632e90813ab9ebbg011e00,名物与草木：中国古典文学中的意象世界,潘富俊
b2332f8071e1e02eb23fdc5,柳永词选评,谢桃坊
fcf32fb0813aba6dcg017ddb,大宋梦华：宋朝的开明与风雅,萧盛
a7c32c90813aba93bg0152a1,元曲三百首鉴赏辞典(新一版),上海辞书出版社文学鉴赏辞典编纂中心
eb93253071d512c2eb95dbb,二晏词鉴赏辞典,上海辞书出版社文学鉴赏辞典编纂中心
715323b0813ab7763g010c99,陆游诗文鉴赏辞典(珍藏本),上海辞书出版社文学鉴赏辞典编纂中心
bdb32240813ab938bg012f69,文学经典鉴赏・楚辞名篇,上海辞书出版社文学鉴赏辞典编纂中心
d5f32480813ab938cg017186,文学经典鉴赏・元明清词三百首,上海辞书出版社文学鉴赏辞典编纂中心
5cb329f0719708fd5cbd788,开时似雪谢时似雪：两宋卷,陈炎
543329c0720865055435480,纳兰成德传,樊志斌
